date,title,link,compensation,employment_type,images,description
2019-08-29 17:38,Architectural; Draftsperson,https://losangeles.craigslist.org/lac/egr/d/los-angeles-architectural-draftsperson/6967597993.html,Compensation based upon experience and abilities,full-time,,"Studio AR&D Architects is seeking an entry to mid-level Architectural Draftsperson to work collaboratively with our design and technical team on a variety of project types. The ideal candidate will be dynamic team-player with a background in architecture, and the production of design development and construction documents. Candidates must possess a strong work ethic and be organized, detail-oriented, punctual, and professional. Reliable transportation, travel to and from job sites upon request is also a requirement.

Projects vary in size and complexity and will generally focus on high-end, custom residential and hospitality and shall require an individual with the ability to work effectively and efficiently. Work tasks will include taking a project design development through completion. The position requires hands on experience through periodic site visits and potential for individual growth. Knowledge of construction documents, construction details in wood, masonry, concrete, steel, glazing, and various other materials are just a few of the many facets to this position as we provide innovative designs and work with the changing demands that this profession requires.


Job Responsibilities & Interests include but are not limited to: 

-Capable of multi-tasking 
-Primary focus on CAD drafting of plans 
-Updating plans due to evolving design revisions 
-Producing plans and project documents for submittals 
-Maintaining electronic libraries 
-Working with the office Design Manager and existing team on all aspects of project development and follow-through  
-Developing cad drawings beginning with detail sketches and layouts based upon instructions from the Principal & Project Managers. 
-Collaborating with contractors, subcontractors and consultants both in the office and on site 
-Attending meetings and interaction with consultants, contractors, email, phone calls and through in person meetings and presentations. 
-Researching and sourcing materials, vendors, pricing, and product specifications
-Various other office duties including strong organizational skills and duties, creating office standards, project site meetings, etc.
-Creative thinking and problem solving
-Strong Interest in contemporary architecture (portfolio, prior work examples, and resume must reflect this passion)
-Experience with the submission of construction documents at various local governmental agencies and offices


Position Requirements: 

-Ability to multi-task while maintaining a high level of detail and accuracy.  
-5-8 years experience at an architectural office 
-Highly proficient in AutoCAD including paper space, Xref, plotting, etc. (Must be presently using 2012 or newer version) 
-Highly proficient in MS Office (Word, Excel, Outlook)
-Experience generating schedules, MEP's, and elevations 
-Ability to read and scale architectural drawings 
-Proficient Microsoft Office Suite and Adobe  - Effective Communication skills.
-Knowledge and skill using BIM would be a bonus but not required (1. Archicad or 2. Revit) 
-Being a self-starter who can take initiative & ownership of duties given while also working well as part of a team is mandatory


This is a full-time position, available immediately, within the office (no tele-commuting or working remotely).

 
To apply for this position include the following: 

COVER LETTER 
RESUME 
PDF SAMPLES OF DESIGN WORK OR RELATED MATERIALS, SOME OF WHICH MUST HAVE BEEN  PRODUCED WITH A CAD PROGRAM
Send all of the above in an email format via craigslist ""reply""

Notes: 

-All materials should be formatted for easy printing in PDF format
-Keep attachments under 3MB 
-Please include all of the above and send via email. 

Please respond with cover letter, resume, portfolio and references. Please, no phone calls or third parties. Please do not send links to websites or online resumes, photos or video presentations. Competitive salary based on relevant experience and abilities. We offer a full comprehensive medical benefits package including earned paid sick, vacation time, and paid holidays. Special incentives for ARE exam takers are also available. Thank you!"
2019-08-29 13:36,ARCHITECTURAL ASSITANT/DRAFTER !!!,https://losangeles.craigslist.org/sfv/egr/d/van-nuys-architectural-assitant-drafter/6967442666.html,TBD,employee's choice,"https://images.craigslist.org/00p0p_a37MG7O6e2l_600x450.jpg,https://images.craigslist.org/01414_21Nlb5FVgyW_600x450.jpg,https://images.craigslist.org/01010_1dOAmvKgYKK_600x450.jpg","I am looking to hire a part time Architectural Drafter. 

My design firm is a small design company specializing in many different construction and architectural projects in Los Angeles. 

You would be tasked to work on multiple exciting design projects in Los Angeles. 

The Architectural drafter must have the following;

Be proficient in AutoCad and Sketchup. Other programs like Vray, REVIT, Adobe Suite & other Rendering software is a plus. 
Be proficient in Excel, Microsoft, Mac and Windows software.

Must Have experience or knowledge of in the following tasks;
creating construction documents,
producing design presentations, 
coordination with trades plus engineers, 
construction administration. 

Be able to produce construction, structural, framing, millwork details, etc.


Be able to meet deadlines.
Be able to work in a team setting.
Able to manage a flexible schedule.

I will train the appropriate candidate if needed. 

If interested please forward a Portfolio, Resume, and work samples to be considered for the position."
2019-08-29 13:50,STRUCTURAL REVIT & AUTOCAD DRAFTER,https://losangeles.craigslist.org/sgv/egr/d/glendale-structural-revit-autocad/6967452697.html,Negotiable,full-time,,"Grossman & Speer Associates, Inc., Structural Engineers, is seeking a full-time experienced Structural Revit and AutoCAD Drafter.

We offer a modern office environment, flexible working hours, excellent benefits including medical, 401(k), profit sharing, paid vacation and holidays, and opportunity for advancement.

Visit our website at  for more information about our firm.

Please email your resume to:  engineers@grossmanspeer.com"
2019-08-29 16:50,Drafter/Sr. Drafter/Job Captain,https://losangeles.craigslist.org/sgv/egr/d/upland-drafter-sr-drafter-job-captain/6967573356.html,TBD Based on Experience,full-time,,"The Upland office of DC Architects has immediate openings for seasoned Drafter/Sr. Drafter/Job Captain having a minimum of 3 - 5 years of relevant experience in public K-12 educational facilities. 

Responsibilities Include:
-	Ability to work with the Project Manager from design development through construction documents, agency approvals, bidding, construction administration, and DSA close-out with certification
-	Create working drawings and work with consultants to produce their drawings
-	Work with the Project Manager to develop projects that meet Client’s expectations and are completed in a timely manner
-	Ability to work independently with minimal direction
-	Proficient in resolving drawing detailing
-	Proficient knowledge of California building codes (CBC) and agency approvals, including DSA, CDE, OPSC, and Local Fire Departments

 Required Experience:
-	Ability to work with the Project Manager from design through construction documents, agency approvals, bidding, construction, and close-out 
-	Proficient in Auto CAD #14, Revit and MS Software
-	Possess excellent written and verbal communication skills

Desired Qualities:
-	Positive attitude and ability to work well with teammates, clients, state and city agencies

Perks
-	DCA offers financial assistance for employees seeking Architectural Licensure

Please send a cover letter, resume and work samples by email in PDF format."
2019-08-28 16:01,Engineering-Civil 3-5 Yrs. Exp. (Special Projects - Long Beach),https://losangeles.craigslist.org/lgb/egr/d/long-beach-engineering-civil-3-5-yrs/6966839076.html,DOE,full-time,,"KPFF's Special Projects Division, currently is seeking a full-time Civil Engineer in its Long Beach, CA office for interested and qualified candidates. We are looking for self-motivated people who are eager to develop design and project management skills and who are passionate about providing exceptional client service.

Position Requirements:

        •	Minimum of 3 years of civil design experience
        •	Design experience related to civil infrastructure on waterfront, commercial, and industrial sites and/or 
                major transportation infrastructure desirable.
        •	PE License Preferred
        •	BS in Civil Engineering
        •	Working knowledge of Southern California Storm Water Design Criteria
        •	Ability and desire to fulfill duties as discipline design lead
        •	Ability and desire to work in team environment
        •	Willingness to work on variety of projects
        •	Microstation, AutoCAD ,and Civil 3D proficiency is desired
        •	Ability to work dynamically with clients and project team members

KPFF's Special Projects Division, located near the heart of Long Beach, CA, and is a part of a dynamic 70+ person group that provides planning, civil, structural, and mechanical engineering, machinery design and project management. We provide these services on a wide range of project types through all stages of development. Our work generally leans toward heavy civil and industrial infrastructure throughout the US West Coast, and requires us to solve unusual challenges frequently with non-codified solutions.

Typical project types include:

         •	Design/Build 
         •	Transportation Infrastructure
         •	Commercial Developments
         •	Ports
         •	Industrial Developments
         •	Shipyards
         •	Cruise Terminals
         •	Small Boat Harbors
         •	Marinas

We are an engineering-focused company that is organized around the precept that great people thrive in an environment that enables freedom and independence while also providing the necessary amount of accountability and support.  Trust and excellence are foundational values for our company.  Our non-bureaucratic approach depends on trustworthy people who are dedicated to excellence in everything they do.
We focus on the long term:  Build lasting relationships, maintain an excellent reputation, help improve our profession, help our clients to succeed, and provide increasing opportunities for the great people that make up KPFF.

We have recognized that there are specialized issues associated with development of some projects, which require unique management and technical skills.  The KPFF Special Projects Division was established to directly address these concerns with a unique combination of focused dedication to successful delivery via specialized project managers, a highly qualified technical staff, and a predisposition to think and act innovatively.  

While each member of KPFF Special Projects Division brings strong technical abilities to the team, a special strength lies in their ability to communicate clearly; to hear what clients are saying; and to derive and implement solutions that achieve clients' goals.  Their energy, commitment, and ""ownership"" of issues and projects ensure project success.

KPFF Consulting Engineers is an engineering firm with over 1000 employees nationwide, headquartered in Seattle, Washington. 

We offer:

         •	Competitive Benefits
         •	Competitive salaries
         •	Performance based bonuses
         •	Flexible working hours
         •	Great work environment

If you are interested in this position, please submit your resume and a letter of interest through the attached link. 



Resumes sent elsewhere will not be considered.

KPFF Consulting Engineers is committed to recruiting and employing qualified candidates without regard to race, religion, color, sex, sexual orientation, age, national origin, veteran or disability status or any factor prohibited by law.

Min. Experience - 3 yrs.
Min. Education - Bachelor's Degree
Job Type - Permanent"
2019-08-29 09:29,ELECTRICAL ENGINEER--EVERY FRIDAY OFF!!,https://losangeles.craigslist.org/sfv/egr/d/simi-valley-electrical-engineer-every/6967228938.html,TBD,full-time,,"Aveox is an industry leader in designing and producing low-weight/high-powered brushless DC motor and controller solutions for a variety of aviation, aerospace, medical, and industrial customers; we have continually developed and applied innovative motion control technology to meet our customers ultra-critical, environmentally-challenging, high power-density, low-EMI, superior-reliability requirements. 

We are seeking an experienced Electrical Engineer to perform power electronics design and analysis on new and existing products. This individual will have broad electrical engineering experience with power electronics analysis experience preferably in the military/aerospace industry. Develops motion control systems, motor and controller design, power electronics, and servo design. In addition to the technical ability, we are looking for someone who can demonstrate sound, independent judgment and decision-making coupled with the ability to think “big picture” in relation to engineering. 

Responsibilities: 
•	Design electrical/electronic/embedded products, test fixtures, and systems for aerospace, military, industrial and medical applications. 
•	Perform engineering analyses, including design margin, thermal, reliability, FMECA and safety. 
•	Prepare ATP, QTP, DVT and ESS documents, and supervise/perform various testing including bring-up and design verification tests. Identify potential weak points, and develop solutions based on engineering judgment, and input from customer, suppliers and other systems partners
•	Prepare and present design summaries as a power system subject matter expert. 
•	Coordinate and support seamless transfer of new products for manufacturing operation.
•	Establish appropriate flow-down of system requirements to the electronic component level. Ability to understand system specifications, layouts and functions, and the interfaces to other platform systems. Assist in review and refinement of system or component specification(s).
•	Perform engineering analyses, including design margin, thermal, reliability, FMECA and safety. 
•	Prepare and present design summaries as a power system subject matter expert. 
•	Coordinate and support seamless transfer of new products for manufacturing operation
•	Process Engineering Change Order (ECO’s) to existing drawings.

Qualifications: 
•	BSEE with 5 years of analog/digital/power electronics design experience
•	Experience in Power Electronics related to motion control systems, servo systems, and analog design is necessary. Previous experience in aerospace/military fields highly desirable. 
•	Fluent in SPICE, Altium, and MathCAD or similar analysis tools
•	Power conversion/inversion knowledge with application dependent trade study skills
•	Candidate must be U.S. citizenship/permanent resident status
•	Must be a self-starter and a tenacious, proactive individual who can manage multiple tasks in a fast paced, team oriented environment with minimal supervision. 
•	Motor Driver knowledge including FOC techniques, and MOSFET/IGBT control is desirable
•	Working knowledge of DO-160, DO-178, DO-254 and MIL-STD-461 is desirable
•	Experience with C assembly language programming experience and Airborne/military system qualification and certification process experience is highly desirable. 

We offer the ideal candidate the opportunity to be part of a progressive organization along with a competitive compensation and benefits package. Interested parties please email resume.  Visit our website at www.aveox.com"
2019-08-29 10:33,Architect Job Captain,https://losangeles.craigslist.org/lgb/egr/d/long-beach-architect-job-captain/6967285428.html,60k+ Dependent on experience,full-time,,"Ultra-Unit Archtiectural Studio

WWW.ULTRA-UNIT.COM

We are a dynamic, growing and highly localized architecture firm in Long Beach who loves the idea that we are improving our city one building at a time. 

We are looking for a new team member with a minimum of 3 years PROFESSIONAL full time experience in an office. For the right individual we offer real authorship and contribution in a number of multi family and commercial projects. Interested individual should email resume and portfolio.


POSITION
• Seeking a highly organized, proactive, and energetic Architectural Job Captain. 
• We are a small firm and offer a unique range of experiences along with a high degree of authorship in the creation of buildings in the LA and Long Beach areas.
• Individual is expected to be an active participant in the design, production and implementation of architecture. 
• 40 hours a week with flexible hours and paid vacation time. 

RESPONSIBILITIES 
• Design of multifamily and small commercial projects using Revit, Rhino and Maxwell 3d.
• Production drawings utilizing Revit and city coordination. 
• Project scheduling, understanding complex projects/details
• Ability to work with other team members in a collaborative environment. 

EXPERIENCE & SKILLS including demonstrated working knowledge and understanding of:
• Software: Revit, Rhino, Maxwell 3d, Photoshop, Illustrator.
• 2-5 years' experience working in an Architectural Office or related environment.
• Experience in Construction Documents and Detailing.
• Great Communication & Client Management Skills: verbally and graphically
• Critical and analytical thinker and ability to do so in a team setting
• Candidate must demonstrate initiative and ability to problem solve. 

REQUIREMENTS

• Minimum 2 years full time professional employment using Revit in a team context. 
• Min 3 years architectural drafting / job captain experience.
• The job relies heavily on architectural design, computer software, 3D design and rendering, drafting, organizational and superior communication skills."
2019-08-28 15:57,Engineering-Civil 1-5 Yrs. Exp. (Special Projects),https://losangeles.craigslist.org/lgb/egr/d/long-beach-engineering-civil-1-5-yrs/6966836746.html,DOE,full-time,,"KPFF’s Special Projects Division, currently is seeking a full-time Civil Engineer in its Long Beach, CA office for interested and qualified candidates. We are looking for self-motivated people who are eager to develop design and project management skills and who are passionate about providing exceptional client service.

Position Requirements:
Minimum of 1 year of civil design experience
EIT is preferred
Computer proficiency is required, including Microsoft Office Programs
Computer Aided Drafting experience is desired (Autocad /Civil 3D &/or Microstation)
Ability and desire to work in team environment
Willingness to work on variety of projects
Ability to work dynamically and effectively with clients and project team members
 

KPFF's Special Projects Division, located near the heart of downtown Long Beach, CA, and is a part of a dynamic 80+ person group that provides planning, civil, structural, and mechanical engineering, machinery design, construction management, and project management. We provide these services on a wide range of project types through all stages of development. Our work generally leans toward heavy civil and industrial infrastructure throughout the US West Coast, and requires us to solve unusual challenges frequently with non-codified solutions.

Typical project types include:
Design/Build
Transportation Infrastructure
Commercial Developments
Ports
Industrial Developments
Shipyards
Cruise Terminals
Small Boat Harbors
Marinas

We are an engineering-focused company that is organized around the precept that great people thrive in an environment that enables freedom and independence while also providing the necessary amount of accountability and support.  Trust and excellence are foundational values for our company.  Our non-bureaucratic approach depends on trustworthy people who are dedicated to excellence in everything they do.

We focus on the long term:  Build lasting relationships, maintain an excellent reputation, help improve our profession, help our clients to succeed, and provide increasing opportunities for the great people that make up KPFF.

We have recognized that there are specialized issues associated with development of some projects, which require unique management and technical skills.  The KPFF Special Projects Division was established to directly address these concerns with a unique combination of focused dedication to successful delivery via specialized project managers, a highly qualified technical staff, and a predisposition to think and act innovatively. 

While each member of KPFF Special Projects Division brings strong technical abilities to the team, a special strength lies in their ability to communicate clearly; to hear what clients are saying; and to derive and implement solutions that achieve clients’ goals.  Their energy, commitment, and “ownership” of issues and projects ensure project success.

KPFF Consulting Engineers is an engineering firm with over 1200 employees nationwide, headquartered in Seattle, Washington. We offer:

Competitive Benefits
Competitive salaries
Performance based bonuses
Flexible working hours
Great work environment

If you are interested in this position, please submit your resume and a letter of interest through the attached link. 


Resumes sent elsewhere will not be considered.

KPFF Consulting Engineers is committed to recruiting and employing qualified candidates without regard to race, religion, color, sex, sexual orientation, age, national origin, veteran or disability status or any factor prohibited by law"
2019-08-29 10:40,Design/Project Coordinator,https://losangeles.craigslist.org/sfv/egr/d/woodland-hills-design-project/6967291580.html,Base plus bonus,full-time,,"Zoom Casa is the concierge platform for home sellers. We provide painless solutions with no cash out of pocket that ensure your home sells for top dollar, faster. We promote the American Dream of responsible homeownership and seek to be the trusted partner of homeowners and real estate agents.  We operate nationally and act locally. Our partners are experts in their fields and cater to your specific needs. No project is too large or small.
 
The Design Project Manager is a key field role meeting with homeowners, agents and subcontractors.  The Design/Project Manager will effectively evaluate properties and provide expert recommendations to maximize their value.  Foster long term relationships with industry representatives.  Manage assigned projects through the various stages of the project lifecycle, from concept to implementation. This includes developing estimating, design recommendations, project planning w/milestones, job site visits, and final evaluations.  
 
ESSENTIAL DUTIES AND RESPONSIBILITIES 
•         Detailed evaluations and photos of property
•         Meet with clients to discuss necessary upgrades
•         Monitor project schedules and budgets as determined by the client
•         Assist with initial estimates
•         Obtain bids from our network of Certified Contractors
•         Facilitate communication as appropriate to all involved
•         Utilize online tools and mobile apps to manage project timelines
•         Understand and exceed customer (internal or external) needs and expectations.
•         Confirm selection of building materials/items with clients
•         Maintain and build relationships with sub-contractors"
2019-08-28 14:53,"Designer, Architectural intern",https://losangeles.craigslist.org/wst/egr/d/venice-designer-architectural-intern/6966793975.html,hourly,part-time,,"ARCHITECTURAL INTERN WANTED
Energetic, award-winning architecture firm looking for a part-time designer to work on single family homes on the Westside   
Required skills are: 
•	AutoCAD, PhotoShop 
•	Good freehand skills 
•	Good communication skills
•	Knowledge of sustainability issues"
